#{"t_start": 1765794039.6163566, "env_id": null}
r,l,t
--2327.800182,399,821.895747
-2285.718825,399,874.02365
-2221.579934,399,934.081898
-2713.760403,399,995.285995
-2350.484354,399,1058.313304-2-1994.954033,399,1684.643026
-1970.923116,399,1747.606992
-1927.990052,399,1810.289587
-2040.760015,399,1872.166939
-1913.981724,399,1934.55992-20-1574.243871,399,2574.091152
-1560.24373,399,2636.530236
-1889.336885,399,2701.185361
-2085.818991,399,2764.706327
-2627.495276,399,2828.-1858.15-1692.764031,399,3446.335495
-2298.588464,399,3508.60827
-2222.839239,399,3570.034032
-1903.928699,399,3631.431313
-1330.820937,399,369-3543.5138-2106.947732,399,7802.853684
-2165.099184,399,7864.780989
-2011.827942,399,7925.73166
-1903.452044,399,7988.233795
-2009.926405,399,8050.234459
